Catalog#,Artist,Title,Label,Format,Rating,Released,release_id,Notes
none,m1dy,1996-2001,Not On Label (m1dy Self-released),"CDr, Promo",,2001,1768945,,2012-07-02 22:43:54
none,Paniyolo,3月が眠る,Not On Label (Paniyolo Self-released),"CDr, MiniAlbum",,2010,9031733,,2018-02-06 20:27:42
none,Satanicum Tenebrae,Voices Of The Dark Call Me To Suffer,Not On Label (Satanicum Tenebrae Self-released),"Cass, S/Sided",,1994,2421378,,2014-09-09 21:41:55
none,USAO,USAO CD Vol.2,Not On Label (USAO Self-released),"CDr, Album",,2007,1394106,,2012-07-04 23:33:50
none,USAO,USAO,Not On Label (USAO Self-released),"3xFile, MP3, 160 + File, MP3, 128",,2007,3112510,,2017-05-01 12:03:14
cult 009,Vannvidd,Sinistres Paysages,Occultum Productions,"CDr, Album",,2006,1495838,,2013-03-22 13:50:25
none,P*Light,C89 Pichnopop Special CD,Pichnopop,CD,,2015,8176111,,2017-01-24 17:02:13
PPCD-0001,P*Light,P*Style001,Pichnopop,"CDr, Album",,2008,2369117,,2017-01-24 17:02:31
PPCD-0002,P*Light,P*Style 1.50,Pichnopop,"CDr, Album",,2009,2369093,,2017-01-24 16:14:08
PORK-LIMITED,m1dy,Pestfinal - The Rare Trax,PORK,"CDr, Album, Ltd",,2006,998326,,2012-07-02 22:44:05
PORK002,m1dy,Freedom,PORK,"CDr, Single",,2004,730320,,2012-07-02 22:44:09
PR003,Government Alpha / Tube Tentacles,Extreme Feelings,Pure Reactive Records,"CD, Album, Dlx, Ltd",,2016,8672226,,2017-04-25 19:44:15
none,Angry Aryans,Old School Hate,Resistance Records (3),"CD, Comp",,2001,3946782,,2013-04-09 15:06:35
CDRAID 552,Sy & Unknown vs. Styles & Breeze,Masters Of Hardcore,Rumour Records,"2xCD, Comp, Mixed",,2002,150110,,2017-12-20 12:53:54
SRPCD-004,Kankitsu,サクラスケープ EP,Seraphina Recordings,"CDr, EP",,2015,7751969,,2017-09-14 18:54:22
none,Government Alpha,Aerial Patrol,Sewer Records,"CDr, Mini, Ltd, Num",,2002,575259,,2013-03-21 17:42:24
SRPC-0002,高速音楽隊シャープネル,ダブル ダッチ = Double Dutch,Sharpnelsound,"CDr, Album",,1998,1785480,,2017-12-27 12:23:39
SRPC-0002.5,高速音楽隊シャープネル,フロム・ザ・ハート = From The Heart,Sharpnelsound,"CDr, MiniAlbum, Ltd",,1998,6946280,,2018-04-22 12:27:04
SRPX-0003,DJ Sharpnel,ドコミ限定 = DoKomi 2015 Limited,Sharpnelsound,"CDr, Comp, Ltd, Mixed, Promo",,2015,7045151,,2017-07-31 20:01:36
SRPX-0004,DJ Sharpnel,Colossalcon2016 Limited,Sharpnelsound,"CDr, Mixed, Promo",,2016,8627492,,2017-07-31 20:01:17
SRPX-0006,DJ Sharpnel,Upshft Limited,Sharpnelsound,"CDr, Comp, Ltd, Mixed",,2017,10570762,,2017-07-31 20:00:03
SBR-002,DJ Wildparty,Japanese Hardcore Sampler,Shotbass Records,"CD, Mixed",,2011,3306554,,2018-05-20 18:14:07
none,Various,Sketchbook (Re)collection,Sketch Up! Recordings,"CDr, Comp",,2009,1778809,,2012-07-04 23:35:45
none,Various,Sketching! EP1,Sketch Up! Recordings,"CDr, EP",,2009,2052877,,2012-07-04 23:35:48
none,Various,Sketching! EP2,Sketch Up! Recordings,"CDr, EP, Ltd",,2010,2142097,,2012-07-04 23:35:51
none,Various,Sketching! EP3,Sketch Up! Recordings,"CDr, EP, Ltd",,2010,2265840,,2012-06-25 22:39:43
none,DJ Myosuke,Vagueness,Solidbox Records,"CDr, Single",,2010,2279698,,2012-10-13 09:01:34
SP006,MSBR,The Final Harsh Work #22,Spatter,"CDr, Ltd, Num",,1999,342893,,2019-05-31 15:23:34
none,Michael Ford,Angró Mainyush,Succubus Productions,"CDr, Album",,2007,6460486,,2018-07-09 13:38:29
none,Michael Ford,Rite Of The Qlippoth,Succubus Productions,"CDr, Album",,2007,1049422,,2018-07-09 13:38:32
none,Michael Ford,Eosphoros & Hesperos,Succubus Productions,"CD, Album",,2015,11020177,,2018-07-09 13:38:48
none,Government Alpha,Glacial Specimens,Tabula Rasa,"CDr, Album, Ltd, Num",,2001,727111,,2013-03-21 17:32:55
FD 002,Darkness Enshroud,Totentanz,The Fossil Dungeon,"CDr, Ltd",,2001,361331,,2017-10-26 13:38:51
CST-1,Linekraft,Chaos State 1,Three Plugs Records,"Cass, EP, Ltd",,2018,11666111,,2018-03-29 12:59:45
